negatives
"frozenset({'Q13155', 'AndrogenReceptor', 'P46940'})"
"frozenset({'Q00987', 'P11309', 'AndrogenReceptor'})"
"frozenset({'Q9UNF0', 'AndrogenReceptor', 'O00401'})"
"frozenset({'AndrogenReceptor', 'Q5FBB7', 'P30153'})"
"frozenset({'O00526', 'AndrogenReceptor', 'Q8N6L0'})"
"frozenset({'P61165', 'AndrogenReceptor', 'Q7LGA3'})"
"frozenset({'Q9H9F9', 'AndrogenReceptor', 'P0C1Z6'})"
"frozenset({'P50570', 'AndrogenReceptor', 'P04629'})"
"frozenset({'Q9UL26', 'P20339', 'AndrogenReceptor'})"
"frozenset({'P25116', 'P59768', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P60709', 'P50281'})"
"frozenset({'Q29RF7', 'O95644', 'AndrogenReceptor'})"
"frozenset({'P05067', 'AndrogenReceptor', 'Q05193'})"
"frozenset({'Q99459', 'Q16531', 'AndrogenReceptor'})"
"frozenset({'Q96RK4', 'AndrogenReceptor', 'Q9Y256'})"
"frozenset({'P04049', 'P25490', 'AndrogenReceptor'})"
"frozenset({'Q9ULE0', 'Q9NRM7', 'AndrogenReceptor'})"
"frozenset({'P48039', 'AndrogenReceptor', 'P63104'})"
"frozenset({'P12931', 'AndrogenReceptor', 'P31040'})"
"frozenset({'Q99750', 'AndrogenReceptor', 'Q9P0T4'})"
"frozenset({'P28799', 'Q9H4B6', 'AndrogenReceptor'})"
"frozenset({'Q9BV94', 'AndrogenReceptor', 'P27824'})"
"frozenset({'AndrogenReceptor', 'P24863', 'Q5T200'})"
"frozenset({'AndrogenReceptor', 'Q86YR5', 'Q15311'})"
"frozenset({'Q16659', 'Q9Y2Z0', 'AndrogenReceptor'})"
"frozenset({'P55786', 'P07195', 'AndrogenReceptor'})"
"frozenset({'P07438', 'AndrogenReceptor', 'P60371'})"
"frozenset({'Q15120', 'P05412', 'AndrogenReceptor'})"
"frozenset({'Q9BQP7', 'Q96FF9', 'AndrogenReceptor'})"
"frozenset({'Q07627', 'AndrogenReceptor', 'P10074'})"
"frozenset({'Q96BA8', 'P21854', 'AndrogenReceptor'})"
"frozenset({'P68104', 'AndrogenReceptor', 'Q15583'})"
"frozenset({'P54619', 'AndrogenReceptor', 'Q9NWV8'})"
"frozenset({'Q12931', 'AndrogenReceptor', 'P26367'})"
"frozenset({'AndrogenReceptor', 'Q6NZI2', 'Q14161'})"
"frozenset({'Q5T7P8', 'AndrogenReceptor', 'Q6XYQ8'})"
"frozenset({'Q14839', 'P63279', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P05976', 'Q15019'})"
"frozenset({'Q9HCN6', 'AndrogenReceptor', 'P0DP23'})"
"frozenset({'P12270', 'Q92499', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9UHY8', 'Q7L2K0'})"
"frozenset({'AndrogenReceptor', 'P04637', 'P48634'})"
"frozenset({'Q9Y223', 'AndrogenReceptor', 'Q96CX2'})"
"frozenset({'Q02878', 'AndrogenReceptor', 'P08238'})"
"frozenset({'AndrogenReceptor', 'Q8TDC3', 'Q13131'})"
"frozenset({'Q15796', 'P15884', 'AndrogenReceptor'})"
"frozenset({'O75150', 'AndrogenReceptor', 'P04637'})"
"frozenset({'O43633', 'AndrogenReceptor', 'O75787'})"
"frozenset({'Q13571', 'Q9HAU4', 'AndrogenReceptor'})"
"frozenset({'Q14525', 'Q969Q5', 'AndrogenReceptor'})"
"frozenset({'Q4G0J3', 'P08865', 'AndrogenReceptor'})"
"frozenset({'P62888', 'P68104', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q96L34', 'Q5JR59'})"
"frozenset({'P86480', 'Q96NU1', 'AndrogenReceptor'})"
"frozenset({'Q15717', 'AndrogenReceptor', 'P11233'})"
"frozenset({'P15927', 'P46782', 'AndrogenReceptor'})"
"frozenset({'P42892', 'P08865', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P27797', 'Q92747'})"
"frozenset({'Q13200', 'Q15034', 'AndrogenReceptor'})"
"frozenset({'Q8TCT1', 'P12277', 'AndrogenReceptor'})"
"frozenset({'O15047', 'Q9UPP1', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q01469', 'P37802'})"
"frozenset({'P11308', 'AndrogenReceptor', 'O14508'})"
"frozenset({'O00461', 'P29317', 'AndrogenReceptor'})"
"frozenset({'Q8WWY8', 'AndrogenReceptor', 'O95390'})"
"frozenset({'Q9HAW0', 'AndrogenReceptor', 'O75122'})"
"frozenset({'P16435', 'AndrogenReceptor', 'Q7Z6M1'})"
"frozenset({'Q12996', 'Q05048', 'AndrogenReceptor'})"
"frozenset({'Q9H9J2', 'AndrogenReceptor', 'P09651'})"
"frozenset({'AndrogenReceptor', 'A6NKG5', 'P04629'})"
"frozenset({'AndrogenReceptor', 'P99999', 'P30480'})"
"frozenset({'AndrogenReceptor', 'Q9BVC4', 'Q13541'})"
"frozenset({'P05067', 'O15075', 'AndrogenReceptor'})"
"frozenset({'Q92731', 'O75569', 'AndrogenReceptor'})"
"frozenset({'O95067', 'O14980', 'AndrogenReceptor'})"
"frozenset({'Q16763', 'AndrogenReceptor', 'P15374'})"
"frozenset({'P49736', 'Q14566', 'AndrogenReceptor'})"
"frozenset({'Q16851', 'Q13362', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q92993', 'O75558'})"
"frozenset({'P19878', 'AndrogenReceptor', 'P08253'})"
"frozenset({'P17612', 'Q08495', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P07949', 'Q96EQ0'})"
"frozenset({'O75530', 'AndrogenReceptor', 'Q96T60'})"
"frozenset({'P07332', 'Q8IZP0', 'AndrogenReceptor'})"
"frozenset({'P78317', 'AndrogenReceptor', 'Q969T4'})"
"frozenset({'P34897', 'P56537', 'AndrogenReceptor'})"
"frozenset({'O15075', 'Q9NQT8', 'AndrogenReceptor'})"
"frozenset({'Q9H6E5', 'AndrogenReceptor', 'P62258'})"
"frozenset({'AndrogenReceptor', 'Q15554', 'P46939'})"
"frozenset({'P23246', 'P63279', 'AndrogenReceptor'})"
"frozenset({'Q86WV1', 'Q9UNY4', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q15154', 'P09471'})"
"frozenset({'Q9Y2K1', 'Q96M95', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q86V81', 'P31943'})"
"frozenset({'Q9Y6D9', 'O95995', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q16666', 'Q5JVF3'})"
"frozenset({'Q7Z6L1', 'Q9BQS8', 'AndrogenReceptor'})"
"frozenset({'P31946', 'P11413', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q96CS2', 'Q9HC77'})"
"frozenset({'P04183', 'Q15047', 'AndrogenReceptor'})"
"frozenset({'Q504Q3', 'P37108', 'AndrogenReceptor'})"
"frozenset({'Q15717', 'Q9P2P5', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P10721', 'P29350'})"
"frozenset({'P46782', 'P53007', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q01664', 'Q6PJG2'})"
"frozenset({'Q8NBT2', 'AndrogenReceptor', 'Q8WVK7'})"
"frozenset({'P46734', 'AndrogenReceptor', 'P80192'})"
"frozenset({'Q99750', 'Q5BKY6', 'AndrogenReceptor'})"
"frozenset({'Q14943', 'AndrogenReceptor', 'P05120'})"
"frozenset({'AndrogenReceptor', 'Q13467', 'P09544'})"
"frozenset({'P31749', 'Q9NRD5', 'AndrogenReceptor'})"
"frozenset({'O14977', 'AndrogenReceptor', 'Q9H0B6'})"
"frozenset({'Q9NRD1', 'Q15181', 'AndrogenReceptor'})"
"frozenset({'O14745', 'AndrogenReceptor', 'O75410'})"
"frozenset({'AndrogenReceptor', 'Q9BVP2', 'P04629'})"
"frozenset({'P29622', 'Q9NWM8', 'AndrogenReceptor'})"
"frozenset({'Q92541', 'Q8N7H5', 'AndrogenReceptor'})"
"frozenset({'O60502', 'Q9H0A6', 'AndrogenReceptor'})"
"frozenset({'Q5VTR2', 'AndrogenReceptor', 'Q9BV68'})"
"frozenset({'O75400', 'AndrogenReceptor', 'Q86Z02'})"
"frozenset({'Q16543', 'AndrogenReceptor', 'Q9H3U1'})"
"frozenset({'P32302', 'P61073', 'AndrogenReceptor'})"
"frozenset({'Q07065', 'AndrogenReceptor', 'Q96Q45'})"
"frozenset({'P25786', 'AndrogenReceptor', 'P26374'})"
"frozenset({'Q6WCQ1', 'AndrogenReceptor', 'Q9H6L4'})"
"frozenset({'P27986', 'Q9H0K1', 'AndrogenReceptor'})"
"frozenset({'O00358', 'P26640', 'AndrogenReceptor'})"
"frozenset({'Q99689', 'AndrogenReceptor', 'Q96GM5'})"
"frozenset({'P21333', 'P63096', 'AndrogenReceptor'})"
"frozenset({'P25786', 'AndrogenReceptor', 'Q9NPD3'})"
"frozenset({'P60709', 'AndrogenReceptor', 'P17252'})"
"frozenset({'P34897', 'Q9P0N9', 'AndrogenReceptor'})"
"frozenset({'P61421', 'P18031', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q6P9F5', 'Q9Y6K9'})"
"frozenset({'Q96GM8', 'Q13501', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9H207', 'Q9P2W3'})"
"frozenset({'Q96GG9', 'AndrogenReceptor', 'Q13617'})"
"frozenset({'Q01196', 'AndrogenReceptor', 'P07333'})"
"frozenset({'Q8IW45', 'AndrogenReceptor', 'Q7Z3S9'})"
"frozenset({'P52742', 'P18754', 'AndrogenReceptor'})"
"frozenset({'Q16659', 'AndrogenReceptor', 'Q15170'})"
"frozenset({'Q15906', 'P43363', 'AndrogenReceptor'})"
"frozenset({'Q04760', 'P09972', 'AndrogenReceptor'})"
"frozenset({'Q8NCN4', 'AndrogenReceptor', 'Q5T5X7'})"
"frozenset({'P78560', 'P19438', 'AndrogenReceptor'})"
"frozenset({'Q9Y6Q9', 'AndrogenReceptor', 'O15264'})"
"frozenset({'P42704', 'AndrogenReceptor', 'Q9Y6K9'})"
"frozenset({'Q6ZT12', 'P09629', 'AndrogenReceptor'})"
"frozenset({'Q9BXL6', 'Q9Y570', 'AndrogenReceptor'})"
"frozenset({'P25105', 'P49407', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P01130', 'P08253'})"
"frozenset({'AndrogenReceptor', 'P61020', 'Q96HU1'})"
"frozenset({'Q6P4A8', 'AndrogenReceptor', 'Q6IQ23'})"
"frozenset({'P61586', 'AndrogenReceptor', 'Q9BST9'})"
"frozenset({'P15927', 'Q5RL73', 'AndrogenReceptor'})"
"frozenset({'P17612', 'Q8NGD1', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P54219', 'Q8TD22'})"
"frozenset({'P13805', 'P26641', 'AndrogenReceptor'})"
"frozenset({'O75530', 'AndrogenReceptor', 'O60341'})"
"frozenset({'Q9H2G9', 'AndrogenReceptor', 'Q8WUD1'})"
"frozenset({'Q9BW92', 'AndrogenReceptor', 'P04629'})"
"frozenset({'AndrogenReceptor', 'Q9Y679', 'Q969T4'})"
"frozenset({'P55212', 'P63261', 'AndrogenReceptor'})"
"frozenset({'Q15306', 'AndrogenReceptor', 'Q86X55'})"
"frozenset({'Q504Q3', 'Q9BY89', 'AndrogenReceptor'})"
"frozenset({'P19525', 'AndrogenReceptor', 'P05198'})"
"frozenset({'AndrogenReceptor', 'Q05586', 'Q13255'})"
"frozenset({'AndrogenReceptor', 'Q9GZT6', 'O60341'})"
"frozenset({'P32004', 'P04156', 'AndrogenReceptor'})"
"frozenset({'P08238', 'AndrogenReceptor', 'Q9BXA7'})"
"frozenset({'P54132', 'O43242', 'AndrogenReceptor'})"
"frozenset({'Q969F1', 'AndrogenReceptor', 'Q9UQ35'})"
"frozenset({'Q96EE3', 'P02511', 'AndrogenReceptor'})"
"frozenset({'Q16637', 'AndrogenReceptor', 'Q08211'})"
"frozenset({'Q9Y371', 'P15259', 'AndrogenReceptor'})"
"frozenset({'Q6ZUT1', 'P38432', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O15061', 'Q7L5N1'})"
"frozenset({'AndrogenReceptor', 'Q9BPZ7', 'P45984'})"
"frozenset({'Q8N6Y0', 'AndrogenReceptor', 'O14964'})"
"frozenset({'O95486', 'O75081', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P10721', 'P78314'})"
"frozenset({'P05783', 'AndrogenReceptor', 'P34932'})"
"frozenset({'P16871', 'AndrogenReceptor', 'P06733'})"
"frozenset({'P28482', 'Q9UQC2', 'AndrogenReceptor'})"
"frozenset({'O14920', 'P12931', 'AndrogenReceptor'})"
"frozenset({'O60939', 'Q92903', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9UQ16', 'P35613'})"
"frozenset({'Q6NZI2', 'O15516', 'AndrogenReceptor'})"
"frozenset({'Q5T440', 'AndrogenReceptor', 'P20336'})"
"frozenset({'Q9HCE1', 'AndrogenReceptor', 'Q14161'})"
"frozenset({'Q8WU90', 'AndrogenReceptor', 'P46939'})"
"frozenset({'AndrogenReceptor', 'P28070', 'O00487'})"
"frozenset({'P60709', 'AndrogenReceptor', 'Q6VMQ6'})"
"frozenset({'Q6X784', 'AndrogenReceptor', 'Q86VZ4'})"
"frozenset({'Q9H239', 'P09958', 'AndrogenReceptor'})"
"frozenset({'Q9NZ56', 'AndrogenReceptor', 'P37173'})"
"frozenset({'AndrogenReceptor', 'Q9HCU5', 'Q96GX1'})"
"frozenset({'O43251', 'AndrogenReceptor', 'Q9H0E2'})"
"frozenset({'O00308', 'AndrogenReceptor', 'P09234'})"
"frozenset({'Q9Y2Q3', 'Q9UNF1', 'AndrogenReceptor'})"
"frozenset({'P98073', 'Q9ULZ3', 'AndrogenReceptor'})"
"frozenset({'Q9Y2J2', 'AndrogenReceptor', 'Q9UPW8'})"
"frozenset({'Q9NRD5', 'Q68D86', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q13433', 'Q86Y78'})"
"frozenset({'AndrogenReceptor', 'Q96EQ0', 'Q6P1K2'})"
"frozenset({'Q9GZR7', 'AndrogenReceptor', 'Q9Y221'})"
"frozenset({'O60806', 'AndrogenReceptor', 'P22736'})"
"frozenset({'P01111', 'AndrogenReceptor', 'P21802'})"
"frozenset({'P27448', 'P62979', 'AndrogenReceptor'})"
"frozenset({'P49802', 'AndrogenReceptor', 'P09471'})"
"frozenset({'P00387', 'P09067', 'AndrogenReceptor'})"
"frozenset({'O00231', 'Q9BQ83', 'AndrogenReceptor'})"
"frozenset({'Q8IVT2', 'AndrogenReceptor', 'Q9UHB6'})"
"frozenset({'AndrogenReceptor', 'P20339', 'Q96T51'})"
"frozenset({'P13807', 'AndrogenReceptor', 'P34947'})"
"frozenset({'AndrogenReceptor', 'P08237', 'P10586'})"
"frozenset({'Q07020', 'P46782', 'AndrogenReceptor'})"
"frozenset({'Q53H96', 'AndrogenReceptor', 'P25789'})"
"frozenset({'Q6ZWK4', 'AndrogenReceptor', 'Q15036'})"
"frozenset({'P27348', 'Q6WCQ1', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P30048', 'Q9GZQ8'})"
"frozenset({'Q86UX2', 'AndrogenReceptor', 'O43542'})"
"frozenset({'Q6ZW31', 'Q8IVT5', 'AndrogenReceptor'})"
"frozenset({'P11388', 'P27361', 'AndrogenReceptor'})"
"frozenset({'Q9Y2X8', 'Q9NS56', 'AndrogenReceptor'})"
"frozenset({'P22102', 'P68104', 'AndrogenReceptor'})"
"frozenset({'O43896', 'AndrogenReceptor', 'Q9NRR6'})"
"frozenset({'AndrogenReceptor', 'P18077', 'P46781'})"
"frozenset({'P12955', 'AndrogenReceptor', 'Q6ICL3'})"
"frozenset({'AndrogenReceptor', 'P10721', 'P15692'})"
"frozenset({'P15408', 'AndrogenReceptor', 'Q09472'})"
"frozenset({'P12956', 'Q9H967', 'AndrogenReceptor'})"
"frozenset({'Q13530', 'Q9HAV4', 'AndrogenReceptor'})"
"frozenset({'Q96SB3', 'P32239', 'AndrogenReceptor'})"
"frozenset({'Q86XR8', 'Q9UBX5', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q96SB8', 'Q8WV22'})"
"frozenset({'Q96HE9', 'Q9HCE1', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P36508', 'Q9H2G9'})"
"frozenset({'O15126', 'P53365', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P07203', 'Q9Y6E7'})"
"frozenset({'AndrogenReceptor', 'P35368', 'P30679'})"
"frozenset({'AndrogenReceptor', 'P82979', 'Q6I9Y2'})"
"frozenset({'P04792', 'AndrogenReceptor', 'P10398'})"
"frozenset({'P60410', 'AndrogenReceptor', 'Q5XG85'})"
"frozenset({'AndrogenReceptor', 'P19338', 'P35226'})"
"frozenset({'AndrogenReceptor', 'O60359', 'P36873'})"
"frozenset({'AndrogenReceptor', 'Q5S007', 'P09543'})"
"frozenset({'P10636', 'AndrogenReceptor', 'P48730'})"
"frozenset({'P22681', 'AndrogenReceptor', 'P78314'})"
"frozenset({'P08238', 'AndrogenReceptor', 'Q9BZR9'})"
"frozenset({'AndrogenReceptor', 'Q7Z3S9', 'Q8TAU3'})"
"frozenset({'Q13363', 'Q9UHF7', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P63208', 'Q06587'})"
"frozenset({'AndrogenReceptor', 'Q99572', 'Q7Z3S9'})"
"frozenset({'P49736', 'Q96T76', 'AndrogenReceptor'})"
"frozenset({'P52732', 'AndrogenReceptor', 'A2VDJ0'})"
"frozenset({'Q96NL6', 'AndrogenReceptor', 'P63313'})"
"frozenset({'Q8TF42', 'P63261', 'AndrogenReceptor'})"
"frozenset({'Q13077', 'AndrogenReceptor', 'Q96GS6'})"
"frozenset({'P35998', 'P61758', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9Y5K5', 'O43707'})"
"frozenset({'Q01344', 'AndrogenReceptor', 'O14508'})"
"frozenset({'O60884', 'AndrogenReceptor', 'P60900'})"
"frozenset({'Q6NVU6', 'AndrogenReceptor', 'O43711'})"
"frozenset({'Q8N201', 'AndrogenReceptor', 'P48431'})"
"frozenset({'Q14790', 'AndrogenReceptor', 'P48023'})"
"frozenset({'Q9BT25', 'Q96CS2', 'AndrogenReceptor'})"
"frozenset({'O60229', 'P01106', 'AndrogenReceptor'})"
"frozenset({'Q13227', 'AndrogenReceptor', 'P18848'})"
"frozenset({'O75376', 'AndrogenReceptor', 'P06733'})"
"frozenset({'AndrogenReceptor', 'P14174', 'P52895'})"
"frozenset({'P26441', 'AndrogenReceptor', 'Q13651'})"
"frozenset({'P62829', 'AndrogenReceptor', 'Q17R55'})"
"frozenset({'Q9BYR5', 'AndrogenReceptor', 'Q8TBB1'})"
"frozenset({'Q68CZ1', 'AndrogenReceptor', 'Q9Y2D8'})"
"frozenset({'P01106', 'P78347', 'AndrogenReceptor'})"
"frozenset({'P07947', 'Q6UB98', 'AndrogenReceptor'})"
"frozenset({'Q9Y266', 'Q8N5D0', 'AndrogenReceptor'})"
"frozenset({'Q9BYG5', 'Q8TEW0', 'AndrogenReceptor'})"
"frozenset({'Q13685', 'AndrogenReceptor', 'O14503'})"
"frozenset({'Q9NRX1', 'AndrogenReceptor', 'P46781'})"
"frozenset({'P10809', 'Q5TC82', 'AndrogenReceptor'})"
"frozenset({'P30556', 'P49407', 'AndrogenReceptor'})"
"frozenset({'Q96RQ3', 'P17931', 'AndrogenReceptor'})"
"frozenset({'P52435', 'AndrogenReceptor', 'P30876'})"
"frozenset({'Q8N0S2', 'AndrogenReceptor', 'Q9UBY9'})"
"frozenset({'P49257', 'AndrogenReceptor', 'Q96GX1'})"
"frozenset({'P02787', 'P27797', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9UBN6', 'P14174'})"
"frozenset({'Q8WV24', 'AndrogenReceptor', 'O14965'})"
"frozenset({'AndrogenReceptor', 'Q66K41', 'Q8N9W6'})"
"frozenset({'Q9NWM8', 'Q13501', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P12273', 'Q9UHQ7'})"
"frozenset({'O60658', 'Q13432', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q14686', 'P10276'})"
"frozenset({'Q13620', 'P83731', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q99598', 'Q6P1K2'})"
"frozenset({'Q9Y5M8', 'AndrogenReceptor', 'P63173'})"
"frozenset({'P02649', 'AndrogenReceptor', 'Q06418'})"
"frozenset({'Q9Y3R4', 'AndrogenReceptor', 'Q9NTX9'})"
"frozenset({'Q14050', 'AndrogenReceptor', 'O75578'})"
"frozenset({'Q8NF91', 'Q9NWB7', 'AndrogenReceptor'})"
"frozenset({'O43493', 'AndrogenReceptor', 'O43301'})"
"frozenset({'P22314', 'AndrogenReceptor', 'Q9BXL5'})"
"frozenset({'P25391', 'AndrogenReceptor', 'P26006'})"
"frozenset({'Q7L4P6', 'Q5T7P3', 'AndrogenReceptor'})"
"frozenset({'Q9H0W7', 'Q9Y5Z7', 'AndrogenReceptor'})"
"frozenset({'Q6NVU6', 'O15119', 'AndrogenReceptor'})"
"frozenset({'Q99496', 'AndrogenReceptor', 'Q15393'})"
"frozenset({'P05067', 'Q08116', 'AndrogenReceptor'})"
"frozenset({'P60033', 'AndrogenReceptor', 'Q5JTJ3'})"
"frozenset({'Q96ST3', 'O75530', 'AndrogenReceptor'})"
"frozenset({'O15105', 'AndrogenReceptor', 'Q8WTS6'})"
"frozenset({'Q08AG7', 'AndrogenReceptor', 'P49454'})"
"frozenset({'AndrogenReceptor', 'P78362', 'Q9BRK4'})"
"frozenset({'AndrogenReceptor', 'O00155', 'Q969F0'})"
"frozenset({'P10767', 'P22607', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9BSG5', 'Q8NCE0'})"
"frozenset({'P01137', 'Q9BTC8', 'AndrogenReceptor'})"
"frozenset({'P23443', 'AndrogenReceptor', 'Q86X55'})"
"frozenset({'AndrogenReceptor', 'Q9NQG5', 'O43852'})"
"frozenset({'Q9H307', 'Q13523', 'AndrogenReceptor'})"
"frozenset({'Q8TB40', 'AndrogenReceptor', 'P04183'})"
"frozenset({'P40227', 'Q9Y3L5', 'AndrogenReceptor'})"
"frozenset({'O60566', 'AndrogenReceptor', 'Q9UM11'})"
"frozenset({'P05067', 'AndrogenReceptor', 'Q9P289'})"
"frozenset({'Q08379', 'Q9BW85', 'AndrogenReceptor'})"
"frozenset({'P06702', 'P15153', 'AndrogenReceptor'})"
"frozenset({'Q15025', 'AndrogenReceptor', 'Q96MN5'})"
"frozenset({'P49368', 'P17987', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q8N6T3', 'P22694'})"
"frozenset({'Q9BQ90', 'Q7L5N1', 'AndrogenReceptor'})"
"frozenset({'Q9H422', 'AndrogenReceptor', 'P62993'})"
"frozenset({'P26951', 'P01567', 'AndrogenReceptor'})"
"frozenset({'Q13573', 'AndrogenReceptor', 'P02545'})"
"frozenset({'Q9UGL1', 'AndrogenReceptor', 'O94933'})"
"frozenset({'AndrogenReceptor', 'O95630', 'Q8IVW4'})"
"frozenset({'Q13200', 'O95817', 'AndrogenReceptor'})"
"frozenset({'Q13404', 'AndrogenReceptor', 'O43567'})"
"frozenset({'AndrogenReceptor', 'Q9BV73', 'P05387'})"
"frozenset({'AndrogenReceptor', 'P15941', 'Q8N4A0'})"
